,x,y,z,pass
233,420,2.67,3,False
234,800,3.53,1,True
235,620,3.05,2,False
236,660,3.49,2,True
237,480,4.0,2,False
238,500,2.86,4,False
239,700,3.45,3,False
240,440,2.76,2,False
241,520,3.81,1,True
242,680,2.96,3,True
243,620,3.22,2,False
244,540,3.04,1,False
245,800,3.91,3,False
246,680,3.34,2,False
247,440,3.17,2,False
248,680,3.64,3,False
249,640,3.73,3,False
250,660,3.31,4,False
251,620,3.21,4,False
252,520,4.0,2,True
253,540,3.55,4,True
254,740,3.52,4,True
255,640,3.35,3,False
256,520,3.3,2,True
257,620,3.95,3,True
258,520,3.51,2,False
259,640,3.81,2,False
260,680,3.11,2,False
261,440,3.15,2,False
262,520,3.19,3,True
263,620,3.95,3,True
264,520,3.9,3,True
265,380,3.34,3,False
266,560,3.24,4,False
267,600,3.64,3,True
268,680,3.46,2,True
269,500,2.81,3,False
270,640,3.95,2,True
271,540,3.33,3,False
272,680,3.67,2,True
273,660,3.32,1,False
274,520,3.12,2,False
275,600,2.98,2,True
276,460,3.77,3,False
277,580,3.58,1,True
278,680,3.0,4,True
279,660,3.14,2,True
280,660,3.94,2,False
281,360,3.27,3,False
282,660,3.45,4,False
283,520,3.1,4,False
284,440,3.39,2,True
285,600,3.31,4,False
286,800,3.22,1,True
287,660,3.7,4,True
288,800,3.15,4,False
289,420,2.26,4,False
290,620,3.45,2,True
291,800,2.78,2,False
292,680,3.7,2,False
293,800,3.97,1,False
294,480,2.55,1,False
295,520,3.25,3,False
296,560,3.16,1,False
297,460,3.07,2,False
298,540,3.5,2,False
299,720,3.4,3,False
300,640,3.3,2,False
301,660,3.6,3,True
302,400,3.15,2,True
303,680,3.98,2,True
304,220,2.83,3,False
305,580,3.46,4,False
306,540,3.17,1,True
307,580,3.51,2,False
308,540,3.13,2,False
309,440,2.98,3,False
310,560,4.0,3,False
311,660,3.67,2,False
312,660,3.77,3,False
313,520,3.65,4,True
314,540,3.46,4,False
315,300,2.84,2,True
316,340,3.0,2,True
317,780,3.63,4,True
318,480,3.71,4,True
319,540,3.28,1,False
320,460,3.14,3,False
321,460,3.58,2,False
322,500,3.01,4,False
323,420,2.69,2,False
324,520,2.7,3,False
325,680,3.9,1,False
326,680,3.31,2,False
327,560,3.48,2,True
328,580,3.34,2,False
329,500,2.93,4,False
330,740,4.0,3,False
331,660,3.59,3,False
332,420,2.96,1,False
333,560,3.43,3,False
334,460,3.64,3,True
335,620,3.71,1,True
336,520,3.15,3,False
337,620,3.09,4,False
338,540,3.2,1,False
339,660,3.47,3,True
340,500,3.23,4,False
341,560,2.65,3,True
342,500,3.95,4,False
343,580,3.06,2,False
344,520,3.35,3,False
345,500,3.03,3,False
346,600,3.35,2,False
347,580,3.8,2,False
348,400,3.36,2,False
349,620,2.85,2,False
350,780,4.0,2,True
351,620,3.43,3,False
352,580,3.12,3,True
353,700,3.52,2,False
354,540,3.78,2,True
355,760,2.81,1,True
356,700,3.27,2,False
357,720,3.31,1,False
358,560,3.69,3,True
359,720,3.94,3,False
360,520,4.0,1,True
361,540,3.49,1,True
362,680,3.14,2,False
363,460,3.44,2,False
364,560,3.36,1,True
365,480,2.78,3,False
366,460,2.93,3,False
367,620,3.63,3,False
368,580,4.0,1,False
369,800,3.89,2,False
370,540,3.77,2,True
371,680,3.76,3,True
372,680,2.42,1,True
373,620,3.37,1,True
374,560,3.78,2,False
375,560,3.49,4,False
376,620,3.63,2,False
377,800,4.0,2,True
378,640,3.12,3,False
379,540,2.7,2,False
380,700,3.65,2,False
381,540,3.49,2,True
382,540,3.51,2,False
383,660,4.0,1,False
384,480,2.62,2,True
385,420,3.02,1,False
386,740,3.86,2,True
387,580,3.36,2,False
388,640,3.17,2,False
389,640,3.51,2,False
390,800,3.05,2,True
391,660,3.88,2,True
392,600,3.38,3,True
393,620,3.75,2,True
394,460,3.99,3,True
395,620,4.0,2,False
396,560,3.04,3,False
397,460,2.63,2,False
398,700,3.65,2,False
399,600,3.89,3,False
